epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,5736.4,1.90345,1.15379,1.52985,2.00125,0.44788,0.59981,0.37369,0.19038,0.42335,0.52174,0.32284,0.08337,2.1834,1.34262,2.64687,2.19688,0.00120491,0.00120491,0.00120491
30,5933.07,1.83696,1.20534,1.5767,1.96803,0.31566,0.34783,0.22343,0.12019,0.36982,0.30435,0.22607,0.04059,3.25049,1.68113,11.4078,3.11323,0.0011884,0.0011884,0.0011884
31,6134.5,2.00247,1.27197,1.85443,2.0972,0.54588,0.67979,0.57113,0.30976,0.42323,0.52174,0.4312,0.1334,1.92985,1.13517,3.0307,2.05823,0.0011719,0.0011719,0.0011719
32,6329.6,1.92063,1.20046,1.67952,2.07415,0.62475,0.65217,0.64372,0.29508,0.53738,0.56522,0.55299,0.15005,1.96509,0.99531,1.91041,1.9466,0.0011554,0.0011554,0.0011554
33,6524.07,1.98943,1.28008,1.73925,2.05436,0.55701,0.65217,0.535,0.23147,0.48153,0.56522,0.45117,0.13127,2.03116,0.95945,1.83384,1.98748,0.00113889,0.00113889,0.00113889
34,6717.15,1.77571,1.16734,1.58209,1.98569,0.61294,0.65217,0.58945,0.26933,0.50244,0.52174,0.47752,0.14263,2.00055,0.99223,2.26898,1.92009,0.00112239,0.00112239,0.00112239
35,6910.73,1.76012,1.12096,1.50404,1.95805,0.37912,0.56522,0.49979,0.22676,0.37912,0.56522,0.48203,0.16776,2.19658,0.98064,2.11101,2.14564,0.00110589,0.00110589,0.00110589
36,7108.62,1.79429,1.21423,1.5561,1.96997,0.78798,0.3243,0.40535,0.18921,0.78798,0.3243,0.39308,0.1321,2.79329,0.95616,2.32829,2.58973,0.00108938,0.00108938,0.00108938
37,7313.84,1.71452,1.1438,1.47744,1.89214,0.00356,0.13043,0.00218,0.00076,0.00356,0.13043,0.00218,0.00063,3.65403,1.04447,4.75627,3.42965,0.00107288,0.00107288,0.00107288
38,7536.93,1.74097,1.13039,1.53691,1.98625,0.00104,0.04348,0.00056,0.00033,0.00104,0.04348,0.00063,0.00023,3.7398,1.11196,5.18506,3.52576,0.00105638,0.00105638,0.00105638
39,7737.9,1.76265,1.14382,1.54216,1.9061,0.90623,0.08696,0.09078,0.03701,0.90623,0.08696,0.09008,0.02277,3.59418,1.03535,4.00143,3.34938,0.00103987,0.00103987,0.00103987
40,7937.86,1.78705,1.21855,1.51891,1.96997,0.32593,0.34783,0.27694,0.18045,0.32593,0.34783,0.26656,0.08712,2.49183,1.02595,3.12401,2.35469,0.00102337,0.00102337,0.00102337
41,8136.91,1.72939,1.28529,1.50429,1.86886,0.43385,0.43478,0.43659,0.20907,0.52236,0.38088,0.44587,0.12277,2.34278,1.04661,2.79528,2.30277,0.00100687,0.00100687,0.00100687
42,8333.41,1.7425,1.08382,1.54479,1.93375,0.53954,0.56522,0.61033,0.34922,0.53954,0.56522,0.58341,0.19946,1.78891,0.9988,3.33234,2.01821,0.000990365,0.000990365,0.000990365
43,8530.47,1.65704,1.14422,1.40115,1.82812,0.57456,0.52872,0.59182,0.36681,0.57456,0.52872,0.56988,0.21319,1.81536,0.94227,2.2879,2.06889,0.000973861,0.000973861,0.000973861
