epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5953.54,2.21775,1.3829,2.06055,2.28174,0.21206,0.21739,0.12866,0.04,0.04537,0.3913,0.03841,0.00497,2.68347,1.32445,2.59066,2.51816,0.0011884,0.0011884,0.0011884
31,6150.04,2.30581,1.36917,2.12154,2.33052,0.25913,0.21739,0.1523,0.06503,0.26282,0.21739,0.14748,0.02627,2.61972,1.12812,2.63405,2.50134,0.0011719,0.0011719,0.0011719
32,6345.1,2.30578,1.40296,2.07921,2.3613,0.3198,0.30435,0.27963,0.15529,0.33977,0.34783,0.29575,0.06838,2.46366,1.12082,2.42137,2.36342,0.0011554,0.0011554,0.0011554
33,6543.28,2.26698,1.41255,2.06999,2.33463,0.61935,0.30435,0.37007,0.19886,0.61935,0.30435,0.33412,0.10048,2.4132,1.17873,2.20294,2.25672,0.00113889,0.00113889,0.00113889
34,6739.74,2.11432,1.36783,2.08234,2.28845,0.41128,0.21739,0.2113,0.1363,0.41128,0.21739,0.2104,0.06468,2.59734,1.25967,3.53389,2.43361,0.00112239,0.00112239,0.00112239
35,6935.77,2.00161,1.27566,1.90727,2.13071,0.39496,0.52174,0.35381,0.16991,0.44428,0.52174,0.27734,0.04834,2.33706,1.13625,2.3381,2.23564,0.00110589,0.00110589,0.00110589
36,7130.75,2.24735,1.3804,2.01281,2.28834,0.03566,0.13043,0.01619,0.00265,0.00223,0.30435,0.0039,0.00051,2.75502,1.14627,3.94014,2.647,0.00108938,0.00108938,0.00108938
37,7330.41,2.20605,1.35226,2.1007,2.27783,0.00162,0.21739,0.00128,0.0004,0.00097,0.13043,0.00082,0.00015,2.94265,1.20497,4.53468,2.83151,0.00107288,0.00107288,0.00107288
38,7525.62,2.18955,1.35898,1.98933,2.33214,0.39476,0.56522,0.3616,0.13227,0.42567,0.6087,0.3723,0.05635,2.30036,1.131,2.59752,2.23858,0.00105638,0.00105638,0.00105638
39,7719.36,2.01828,1.17355,2.03204,2.20945,0.50446,0.34783,0.28697,0.14307,0.4393,0.30435,0.21449,0.0621,2.4177,1.11575,3.21478,2.19792,0.00103987,0.00103987,0.00103987
