epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,3941.84,2.70424,2.36449,2.93775,2.70445,0.01211,0.16667,0.00578,0.00226,0,0,0,0,1.39851,34.0141,4.77037,0.8193,0.00138644,0.00138644,0.00138644
36,4136.66,2.70032,2.45465,3.06991,2.5324,0.00145,0.33333,0.03433,0.00688,0,0,0,0,4.81826,3.12493,3.70234,2.96059,0.00137819,0.00137819,0.00137819
37,4331.27,2.90223,2.49553,3.04736,2.78356,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,0,1e-05,0,0.00136994,0.00136994,0.00136994
38,4526.49,2.72309,2.36937,3.02095,2.60803,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,0,1e-05,0,0.00136169,0.00136169,0.00136169
39,4723.48,2.66538,2.35765,3.07013,2.59802,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,41.6319,0,0,0.00135344,0.00135344,0.00135344
40,4927.39,2.87001,2.44003,2.96437,2.7946,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,41.6319,0,0,0.00134519,0.00134519,0.00134519
41,5130.88,2.61798,2.33582,3.04172,2.64198,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,58.5119,0.00141,0,0.00133693,0.00133693,0.00133693
42,5330.22,2.87887,2.2218,3.20824,2.78122,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,66.1536,0,0,0.00132868,0.00132868,0.00132868
43,5508.87,2.75526,2.2468,2.98022,2.66783,0.00145,0.33333,0.03433,0.00688,0,0,0,0,0,66.1536,0,0,0.00132043,0.00132043,0.00132043
44,5673.94,2.81714,2.43313,3.05397,2.735,0.00145,0.33333,0.03433,0.00688,0,0,0,0,1.68188,4.09742,1.78847,1.25665,0.00131218,0.00131218,0.00131218
